0	138	138.0	138.0	10
1	202	202.0	202.0	11
2	274	274.0	274.0	12
3	585	585.0	585.0	13
4	590	590.0	590.0	14
5	683	683.0	683.0	15
6	719	719.0	719.0	16
7	764	764.0	764.0	17
8	820	820.0	820.0	18
9	860	860.0	860.0	19
10	896	896.0	896.0	20
11	952	952.0	952.0	21
12	50	50.0	50.0	22
13	147	147.0	147.0	23
14	715	715.0	715.0	0
15	213	213.0	213.0	1
16	879	879.0	879.0	2
17	720	720.0	720.0	3
18	689	689.0	689.0	4
19	525	525.0	525.0	5
20	397	397.0	397.0	6
21	279	279.0	279.0	7
22	202	202.0	202.0	8
23	204	204.0	204.0	9
24	203	170.5	308.385822331377	10
25	268	235.0	375.007142674936	11
26	336	305.0	436.521861300698	12
27	455	520.0	795.771644662753	13
28	660	625.0	773.492424049175	14
29	669	676.0	705.698484809835	15
30	782	750.5	884.143181644258	16
31	967	865.5	1296.12802974261	17
32	882	851.0	982.521861300698	18
33	659	759.5	1185.88538905549	19
34	893	894.5	900.863961030679	20
35	1105	1028.5	1353.06201256463	21
36	968	509.0	2456.37207538775	22
37	480	313.5	1019.89967440536	23
38	201	458.0	1548.35865658966	0
39	917	565.0	2058.40952186599	1
40	925	902.0	999.580735803744	2
41	816	768.0	971.646752981726	3
42	671	680.0	718.183766184074	4
43	529	527.0	535.485281374239	5
44	456	426.5	551.657900270019	6
45	348	313.5	459.871103705615	7
46	270	236.0	380.249783362056	8
47	280	242.0	403.220346110533	9
48	207	182.666666666667	298.869076280237	10
49	267	245.666666666667	359.125910450503	11
50	345	318.333333333333	434.303156994491	12
51	537	525.666666666667	722.877214051942	13
52	568	606.0	750.124945793572	14
53	676	676.0	697.0	15
54	722	741.0	847.616133863501	16
55	732	821.0	1203.34408587031	17
56	769	823.666666666667	993.434154720181	18
57	816	778.333333333333	1095.31756007025	19
58	900	896.333333333333	906.868987086186	20
59	852	969.666666666667	1351.93228112865	21
60	917	645.0	2192.74707236034	22
61	893	506.666666666667	1627.80938728702	23
62	921	612.333333333333	1724.78468058408	0
63	684	604.666666666667	1680.59370880289	1
64	394	732.666666666667	1615.24980722624	2
65	462	666.0	1215.22126688612	3
66	647	669.0	732.213922517116	4
67	520	524.666666666667	538.194415925135	5
68	404	419.0	515.700568767717	6
69	315	314.0	417.532603560424	7
70	263	245.0	357.20962525559	8
71	219	234.333333333333	355.09342607924	9
72	206	188.5	289.628630960772	10
73	203	235.0	347.59662517145	11
74	321	319.0	413.773413993588	12
75	463	510.0	696.451065966382	13
